客户名称,项目名称,项目内容相关信息,项目所在城市,项目发布时间,中标公司,价格
安徽安天利信工程管理股份有限公司,安徽建筑大学2022年节能院科研仪器设备采购项目第5包中标结果公告,货物类主要标的信息（第5包:数字孪生建模基础平台）： 序号 名称 品,合肥,2023-6-1,合肥科益仪器设备有限公司,348000
安徽安天利信工程管理股份有限公司,安徽六安技师学院工业数字孪生系统实训平台采购成交结果公告,,六安,2022-12-30,山东栋梁科技设备有限公司,717000
安徽工程大学,安徽工程大学工业互联网实验室边缘计算3D数字化智能制造平台采购中标结果公告,规格型号 数量 单价 1 数字孪生仿真实训系统 佐标智能 IOA-,芜湖,2023-1-4,安徽佐标智能科技有限公司,4495000
安徽工程大学,安徽工程大学区块链实训平台数字孪生物流与供应链建模仿真实验设备采购中标结果公告,,安徽,2023-1-4,深圳市怡亚通教育发展有限公司,1691000
安徽工程大学,安徽工程大学机械工程学院先进制造仿真与实训实验室数控数字孪生类设备采购中标结果公告,,芜湖,2022-12-5,合肥金瓷机电科技有限公司,4242000
安徽机电职业技术学院,2023年智能制造虚拟工厂建设项目中标结果公告,、主要标的信息 货物类 名称：数字孪生基础实训平台 品牌：博诺 规格型,芜湖,2023-4-21,天津博诺智创机器人技术有限公司,2976500
安徽建筑大学,安徽建筑大学2022年节能院科研仪器设备采购项目第4包中标结果公告,科研仪器设备采购项目（第5包:数字孪生建模基础平台） 投标供应商不满足,合肥,2023-4-4,安徽慕一仪器设备有限公司,628000
安徽理工大学,安徽理工大学2022年实验室设备购置项目（一）中标结果公告,E 5 64000元 第4包 数字孪生智能控制仿真平台 安徽佐标 IO,安徽,2022-11-24,安徽海刚科技发展有限公司,1249000
安徽理工大学,安徽理工大学掘进机器人数字孪生平台中标结果公告,,淮南,2022-9-16,淮南研怀智能科技有限公司,1146000
安徽六安技师学院(六安高级技工学校),安徽六安技师学院工业数字孪生系统实训平台采购[中标通知书],,六安,2022-12-30,山东栋梁科技设备有限公司,717000
安徽省大禹水利工程科技有限公司,数字孪生流域技术咨询服务项目中标公告,,合肥,2023-5-26,安徽东控机电设备有限责任公司,218800
安徽省怀洪新河河道管理局,怀洪新河暨淮水北调工程现代化管理规划的成交公告,发展规划，附怀洪新河暨淮水北调数字孪生建设实施方案。规划的范围为：以省,安徽,2023-2-24,安徽省水利水电勘测设计研究总院有限公司,3080000
安徽省交通运输综合执法监督局,基于数字孪生及视觉诊断的高速公路运行监测与管控关键技术研究,,合肥,2022-7-4,西安长安大学工程设计研究院有限公司,485000
安徽省科学技术协会,安徽省科技馆项目智慧科技馆深化设计及施工一体化服务项目中标（成交）结果公告,,合肥,2023-5-25,科大国创软件股份有限公司,37580000
安徽省水利引用外资办公室,安徽省数字孪生流域（工程）建设技术指南中标通知书,,合肥,2023-4-12,安徽省(水利部淮河水利委员会)水利科学研究院(安徽省水利工程质量检测中心站),1483000
安吉县天荒坪镇人民政府,关于天荒坪镇“美丽余村”田园综合体之驾驶舱及云平台建设工程（余村田园综合体数字化（一期））采购项目的中标(成交)结果公告,村特色场景 3、余村田园综合体数字孪生建模 4、余村田园综合体大脑 5,湖州,2022-10-13,浙江索控科技有限公司,9774981
安阳市高级技工学校,安阳市高级技工学校省级高技能人才培养示范基地项目包件2中标公告,单价 27000（元） 2 数字孪生仿真系统（仿真软件包） 品牌 广,安阳,2023-3-30,北京中科华宇控股集团有限公司,629000
北方民族大学,北方民族大学IOC数字孪生应用开发平台采购项目中标公告,,银川,2023-3-29,宁夏天昱科技有限公司,540000
北京财贸职业学院,北京财贸职业学院2022年分类发展-双高计划-教学类-商学院智慧物流模型组合创意实训室建设成交公告,物汇智科技有限公司 智能供应链数字孪生实训系统；IRT“链服务”数据总,北京,2022-7-14,北京中物汇智科技有限公司,428300
北京建筑大学,市属高校分类发展―未来卓越规划师、设计师、建筑师（三师）人才培养05包中...,、无线中继器、能耗监视工控机、数字孪生行为能力开发工作站等，采购数量详,大兴,2023-4-3,北京航天常兴科技发展股份有限公司,564277
北京交通大学,北京交通大学2022年经管学院科研专项中标公告,字孪生实训平台（含基础课程）；数字孪生接口平台；一体化教学管理平台；数,北京,2022-12-22,北京津发科技股份有限公司,0
